ambitus
File Name;Lowest Note;Lowest MIDI;Highest Note;Highest MIDI;Ambitus (Note Difference);Corpus;Output
impro05-01-audioinfluencer.csv;D3;50;F5;77;27;RO;PT
impro05-02-audioinfluencer.csv;D#3;51;E6;88;37;RO;PT
impro05-03-audioinfluencer.csv;E3;52;G6;91;39;RV;PT
impro05-04-audioinfluencer.csv;G#2;44;B5;83;39;O;DK
impro05-05-audioinfluencer.csv;F3;53;G5;79;26;RO;DK
impro05-06-audioinfluencer.csv;G#2;44;F5;77;33;RV;DK
impro05-07-audioinfluencer.csv;D#3;51;G#5;80;29;RO;PT
impro05-08-audioinfluencer.csv;G3;55;G5;79;24;O;PT
impro05-09-audioinfluencer.csv;B3;59;A#5;82;23;O;PT
impro05-10-audioinfluencer.csv;D3;50;D5;74;24;O;DK
impro05-11-audioinfluencer.csv;G3;55;D5;74;19;O;PT
impro05-12-audioinfluencer.csv;F#3;54;G#5;80;26;RV;DK
impro05-13-audioinfluencer.csv;G#3;56;A5;81;25;RO;DK
impro05-14-audioinfluencer.csv;F#3;54;B5;83;29;RV;DK
impro05-15-audioinfluencer.csv;A3;57;D6;86;29;O;DK
impro05-16-audioinfluencer.csv;A#2;46;E6;88;42;RV;PT
impro05-17-audioinfluencer.csv;G3;55;D7;98;43;RV;PT
impro05-18-audioinfluencer.csv;A3;57;A#5;82;25;RO;DK
